,Method,TrainSize,Train/Test,Accuracy,Repeat ID
434,ACA,99,Train,0.9797979797979798,9
435,ACA,99,Test,0.5217391304347826,9
436,FFI,99,Train,0.29292929292929293,9
437,FFI,99,Test,0.17391304347826086,9
438,AMCA,99,Train,1.0,9
439,AMCA,99,Test,0.5217391304347826,9
440,MCA,99,Train,0.7070707070707071,10
441,MCA,99,Test,0.6086956521739131,10
442,ACA,99,Train,0.9292929292929293,10
443,ACA,99,Test,0.30434782608695654,10
444,FFI,99,Train,0.1919191919191919,10
445,FFI,99,Test,0.21739130434782608,10
446,AMCA,99,Train,0.9797979797979798,10
447,AMCA,99,Test,0.43478260869565216,10
448,MCA,99,Train,0.6666666666666666,11
449,MCA,99,Test,0.6956521739130435,11
450,ACA,99,Train,1.0,11
451,ACA,99,Test,0.43478260869565216,11
452,FFI,99,Train,0.16161616161616163,11
453,FFI,99,Test,0.13043478260869565,11
454,AMCA,99,Train,1.0,11
455,AMCA,99,Test,0.43478260869565216,11
456,MCA,99,Train,0.6767676767676768,12
457,MCA,99,Test,0.5652173913043478,12
458,ACA,99,Train,0.98989898989899,12
459,ACA,99,Test,0.6521739130434783,12
460,FFI,99,Train,0.21212121212121213,12
461,FFI,99,Test,0.13043478260869565,12
462,AMCA,99,Train,1.0,12
463,AMCA,99,Test,0.6521739130434783,12
464,MCA,99,Train,0.7474747474747475,13
465,MCA,99,Test,0.782608695652174,13
466,ACA,99,Train,1.0,13
467,ACA,99,Test,0.34782608695652173,13
468,FFI,99,Train,0.1717171717171717,13
469,FFI,99,Test,0.13043478260869565,13
470,AMCA,99,Train,1.0,13
471,AMCA,99,Test,0.43478260869565216,13
472,MCA,99,Train,0.7070707070707071,14
473,MCA,99,Test,0.5217391304347826,14
474,ACA,99,Train,1.0,14
475,ACA,99,Test,0.6956521739130435,14
476,FFI,99,Train,0.1717171717171717,14
477,FFI,99,Test,0.08695652173913043,14
478,AMCA,99,Train,1.0,14
479,AMCA,99,Test,0.782608695652174,14
480,MCA,116,Train,0.6810344827586207,0
481,MCA,116,Test,0.5652173913043478,0
482,ACA,116,Train,1.0,0
483,ACA,116,Test,0.8695652173913043,0
484,FFI,116,Train,0.1896551724137931,0
485,FFI,116,Test,0.13043478260869565,0
486,AMCA,116,Train,1.0,0
487,AMCA,116,Test,0.8695652173913043,0
488,MCA,116,Train,0.646551724137931,1
489,MCA,116,Test,0.6086956521739131,1
490,ACA,116,Train,1.0,1
491,ACA,116,Test,0.7391304347826086,1
492,FFI,116,Train,0.1896551724137931,1
493,FFI,116,Test,0.08695652173913043,1
494,AMCA,116,Train,1.0,1
495,AMCA,116,Test,0.7391304347826086,1
496,MCA,116,Train,0.6637931034482759,2
497,MCA,116,Test,0.6086956521739131,2
498,ACA,116,Train,1.0,2
499,ACA,116,Test,0.6956521739130435,2
500,FFI,116,Train,0.29310344827586204,2
501,FFI,116,Test,0.2608695652173913,2
502,AMCA,116,Train,1.0,2
503,AMCA,116,Test,0.6521739130434783,2
504,MCA,116,Train,0.6982758620689655,3
505,MCA,116,Test,0.6086956521739131,3
506,ACA,116,Train,1.0,3
507,ACA,116,Test,0.8695652173913043,3
508,FFI,116,Train,0.19827586206896552,3
509,FFI,116,Test,0.13043478260869565,3
510,AMCA,116,Train,1.0,3
511,AMCA,116,Test,0.9130434782608695,3
512,MCA,116,Train,0.7413793103448276,4
513,MCA,116,Test,0.5652173913043478,4
514,ACA,116,Train,1.0,4
515,ACA,116,Test,0.6086956521739131,4
516,FFI,116,Train,0.2413793103448276,4
517,FFI,116,Test,0.21739130434782608,4
518,AMCA,116,Train,1.0,4
519,AMCA,116,Test,0.6521739130434783,4
520,MCA,116,Train,0.6724137931034483,5
521,MCA,116,Test,0.5652173913043478,5
522,ACA,116,Train,1.0,5
523,ACA,116,Test,0.6521739130434783,5
524,FFI,116,Train,0.31896551724137934,5
525,FFI,116,Test,0.21739130434782608,5
526,AMCA,116,Train,1.0,5
527,AMCA,116,Test,0.6521739130434783,5
528,MCA,116,Train,0.7155172413793104,6
529,MCA,116,Test,0.6086956521739131,6
530,ACA,116,Train,0.9741379310344828,6
531,ACA,116,Test,0.5652173913043478,6
532,FFI,116,Train,0.3275862068965517,6
533,FFI,116,Test,0.34782608695652173,6
534,AMCA,116,Train,0.9913793103448276,6
535,AMCA,116,Test,0.6521739130434783,6
536,MCA,116,Train,0.7327586206896551,7
537,MCA,116,Test,0.6956521739130435,7
538,ACA,116,Train,0.9913793103448276,7
539,ACA,116,Test,0.6956521739130435,7
540,FFI,116,Train,0.16379310344827586,7
541,FFI,116,Test,0.13043478260869565,7
542,AMCA,116,Train,1.0,7
543,AMCA,116,Test,0.7391304347826086,7
544,MCA,116,Train,0.6551724137931034,8
545,MCA,116,Test,0.6521739130434783,8
546,ACA,116,Train,0.9655172413793104,8
547,ACA,116,Test,0.6521739130434783,8
548,FFI,116,Train,0.25,8
549,FFI,116,Test,0.21739130434782608,8
550,AMCA,116,Train,1.0,8
551,AMCA,116,Test,0.7391304347826086,8
552,MCA,116,Train,0.646551724137931,9
553,MCA,116,Test,0.4782608695652174,9
554,ACA,116,Train,1.0,9
555,ACA,116,Test,0.5217391304347826,9
556,FFI,116,Train,0.27586206896551724,9
557,FFI,116,Test,0.13043478260869565,9
558,AMCA,116,Train,1.0,9
559,AMCA,116,Test,0.5217391304347826,9
560,MCA,116,Train,0.8189655172413793,10
561,MCA,116,Test,0.7391304347826086,10
562,ACA,116,Train,0.9224137931034483,10
563,ACA,116,Test,0.391304347826087,10
564,FFI,116,Train,0.20689655172413793,10
565,FFI,116,Test,0.21739130434782608,10
566,AMCA,116,Train,1.0,10
