,Method,TrainSize,Train/Test,Accuracy,Repeat ID
3,ACA,6738,Test,0.76,0
4,FFI,6738,Train,0.3446126447016919,0
5,FFI,6738,Test,0.3424,0
6,AMCA,6738,Train,0.9924309884238648,0
7,AMCA,6738,Test,0.991,0
0,MCA,665,Train,0.843609022556391,0
1,MCA,665,Test,0.8204,0
2,ACA,665,Train,0.6781954887218045,0
3,ACA,665,Test,0.6676,0
4,FFI,665,Train,0.3097744360902256,0
5,FFI,665,Test,0.2888,0
6,AMCA,665,Train,0.9849624060150376,0
7,AMCA,665,Test,0.981,0
0,MCA,6738,Train,0.8904719501335708,0
1,MCA,6738,Test,0.8876,0
2,ACA,6738,Train,0.7971208073612348,0
3,ACA,6738,Test,0.7984,0
4,FFI,6738,Train,0.3400118729593351,0
5,FFI,6738,Test,0.342,0
6,AMCA,6738,Train,0.9922825764321758,0
7,AMCA,6738,Test,0.9924,0
0,MCA,1794,Train,0.8595317725752508,0
1,MCA,1794,Test,0.8608,0
2,ACA,1794,Train,0.7251950947603122,0
3,ACA,1794,Test,0.7164,0
4,FFI,1794,Train,0.3272017837235229,0
5,FFI,1794,Test,0.3246,0
6,AMCA,1794,Train,0.9905239687848384,0
7,AMCA,1794,Test,0.9874,0
0,MCA,665,Train,0.8285714285714286,0
1,MCA,665,Test,0.8138,0
2,ACA,665,Train,0.6706766917293233,0
3,ACA,665,Test,0.6354,0
4,FFI,665,Train,0.3308270676691729,0
5,FFI,665,Test,0.3062,0
6,AMCA,665,Train,0.9834586466165414,0
7,AMCA,665,Test,0.9812,0
0,MCA,926,Train,0.8336933045356372,0
1,MCA,926,Test,0.813,0
2,ACA,926,Train,0.6846652267818575,0
3,ACA,926,Test,0.6736,0
4,FFI,926,Train,0.3142548596112311,0
5,FFI,926,Test,0.29100000000000004,0
6,AMCA,926,Train,0.9870410367170628,0
7,AMCA,926,Test,0.9798,0
0,MCA,127,Train,0.7795275590551181,0
1,MCA,127,Test,0.6592,0
2,ACA,127,Train,0.7531496062992126,0
3,ACA,127,Test,0.5753999999999999,0
4,FFI,127,Train,0.4094488188976378,0
5,FFI,127,Test,0.293,0
6,AMCA,127,Train,0.9527559055118109,0
7,AMCA,127,Test,0.8376,0
0,MCA,478,Train,0.7364016736401674,0
1,MCA,478,Test,0.7154,0
2,ACA,478,Train,0.7240585774058577,0
3,ACA,478,Test,0.6806,0
4,FFI,478,Train,0.3117154811715481,0
5,FFI,478,Test,0.2916,0
6,AMCA,478,Train,0.9811715481171548,0
7,AMCA,478,Test,0.9676,0
0,MCA,35218,Train,0.8934067806235447,0
1,MCA,35218,Test,0.8952,0
2,ACA,35218,Train,0.8290646828326425,0
3,ACA,35218,Test,0.833,0
4,FFI,35218,Train,0.3420410017604634,0
5,FFI,35218,Test,0.3344,0
6,AMCA,35218,Train,0.9936680106763588,0
7,AMCA,35218,Test,0.9946,0
0,MCA,9380,Train,0.8918976545842218,0
1,MCA,9380,Test,0.8898,0
2,ACA,9380,Train,0.8007462686567164,0
3,ACA,9380,Test,0.7964,0
4,FFI,9380,Train,0.3471215351812367,0
5,FFI,9380,Test,0.345,0
6,AMCA,9380,Train,0.9936034115138592,0
7,AMCA,9380,Test,0.9928,0
0,MCA,246,Train,0.7601626016260162,0
1,MCA,246,Test,0.7240000000000001,0
2,ACA,246,Train,0.7873983739837398,0
3,ACA,246,Test,0.6329999999999999,0
4,FFI,246,Train,0.34552845528455284,0
5,FFI,246,Test,0.2864,0
6,AMCA,246,Train,0.975609756097561,0
7,AMCA,246,Test,0.907,0
0,MCA,478,Train,0.8117154811715481,0
1,MCA,478,Test,0.8012,0
2,ACA,478,Train,0.6968619246861925,0
3,ACA,478,Test,0.6342,0
4,FFI,478,Train,0.3263598326359833,0
5,FFI,478,Test,0.3064,0
6,AMCA,478,Train,0.98744769874477,0
7,AMCA,478,Test,0.9776,0
0,MCA,665,Train,0.8736842109999999,0
1,MCA,665,Test,0.863,0
2,ACA,665,Train,0.691578947,0
3,ACA,665,Test,0.6896,0
4,FFI,665,Train,0.321804511,0
5,FFI,665,Test,0.299,0
6,AMCA,665,Train,0.981954887,0
7,AMCA,665,Test,0.9784,0
0,MCA,246,Train,0.8089430894308943,0
1,MCA,246,Test,0.7892,0
2,ACA,246,Train,0.7833333333333333,0
3,ACA,246,Test,0.6252,0
4,FFI,246,Train,0.2764227642276423,0
